Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,19,PHI,NBA,PF,74,1554,16.5,.570,.039,.210,9.1,14.8,11.9,6.2,2.5,0.4,10.7,17.4,,2.6,2.0,4.5,.140,,0.3,0.3,0.6,1.0
2008-09,20,PHI,NBA,PF,75,2580,15.3,.549,.171,.197,6.4,11.1,8.8,5.8,2.1,0.7,10.2,20.5,,3.0,2.5,5.5,.102,,0.8,-0.2,0.5,1.7
2009-10,21,PHI,NBA,PF,67,2145,14.0,.523,.170,.203,7.0,12.3,9.6,7.5,2.0,0.6,12.5,21.5,,0.9,1.2,2.1,.047,,-0.5,-1.3,-1.8,0.1
2010-11,22,PHI,NBA,PF,82,2135,18.4,.566,.026,.205,8.3,15.2,11.7,6.7,2.2,0.9,9.7,22.1,,3.2,3.0,6.2,.139,,0.3,0.0,0.3,1.2
2011-12,23,PHI,NBA,PF,63,1755,18.9,.538,.006,.210,8.6,12.0,10.3,7.3,2.0,1.8,6.8,21.5,,3.4,2.9,6.3,.171,,0.7,0.9,1.6,1.6
2012-13,24,PHI,NBA,PF,76,2629,18.2,.541,.008,.196,7.6,17.2,12.3,8.2,2.7,1.6,8.0,19.8,,3.7,3.7,7.4,.136,,0.2,1.6,1.7,2.5
2013-14,25,PHI,NBA,PF,79,2718,16.6,.512,.228,.178,6.3,12.8,9.5,11.8,3.0,1.1,10.7,24.1,,1.2,2.3,3.5,.062,,0.2,-0.4,-0.2,1.2
2014-15,26,TOT,NBA,PF,76,2434,15.7,.507,.119,.207,5.8,13.5,9.6,12.4,2.6,0.8,10.0,21.5,,1.6,1.4,3.1,.061,,0.2,-0.3,-0.1,1.2
2014-15,26,MIN,NBA,PF,48,1605,15.0,.491,.101,.201,5.2,12.5,8.7,14.7,2.7,0.8,9.7,21.2,,0.8,0.6,1.4,.043,,0.1,-0.4,-0.4,0.7
2014-15,26,BRK,NBA,PF,28,829,17.1,.539,.153,.217,7.1,15.4,11.2,8.0,2.4,0.8,10.5,22.0,,0.8,0.8,1.6,.095,,0.4,0.0,0.3,0.5
2015-16,27,BRK,NBA,PF,73,2407,17.5,.533,.031,.169,8.1,23.0,15.4,9.5,2.3,1.2,11.6,21.6,,1.9,2.2,4.1,.081,,-0.5,0.6,0.1,1.3
Career,,,NBA,,665,20357,16.7,.535,.099,.195,7.3,14.7,11.0,8.6,2.4,1.0,10.1,21.3,,21.6,21.1,42.6,.101,,0.2,0.1,0.3,11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,516,15516,16.8,.539,.107,.197,7.5,13.6,10.5,7.8,2.4,1.0,9.8,21.2,,18.1,17.4,35.5,.110,,0.3,0.1,0.4,9.3
2 seasons,,BRK,NBA,,101,3236,17.4,.534,.062,.181,7.8,21.0,14.3,9.1,2.4,1.1,11.3,21.7,,2.7,3.0,5.7,.084,,-0.3,0.4,0.2,1.8
1 season,,MIN,NBA,,48,1605,15.0,.491,.101,.201,5.2,12.5,8.7,14.7,2.7,0.8,9.7,21.2,,0.8,0.6,1.4,.043,,0.1,-0.4,-0.4,0.7
