Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,21,TOT,NBA,PF,70,1056,10.9,.451,.003,.340,13.0,21.3,17.1,6.7,2.0,1.9,19.3,19.1,,-0.9,0.9,-0.1,-0.002,,-4.4,-0.1,-4.5,-0.7
2012-13,21,SAC,NBA,PF,51,809,10.6,.450,.000,.292,12.7,21.3,16.9,6.8,1.6,2.0,19.2,18.6,,-0.7,0.5,-0.2,-0.010,,-4.3,-0.4,-4.8,-0.6
2012-13,21,HOU,NBA,PF,19,247,12.0,.454,.013,.487,13.9,21.3,17.7,6.2,3.2,1.5,19.5,20.8,,-0.3,0.4,0.1,.024,,-4.6,1.2,-3.4,-0.1
2013-14,22,POR,NBA,PF,70,873,14.1,.502,.003,.345,13.1,24.6,18.9,6.0,1.3,1.6,14.5,19.7,,0.4,1.2,1.6,.090,,-3.1,-0.1,-3.2,-0.3
2014-15,23,TOT,NBA,PF,54,798,15.3,.502,.008,.408,12.6,28.6,20.5,7.6,2.0,1.9,16.1,20.2,,0.0,1.4,1.5,.089,,-3.8,1.1,-2.7,-0.1
2014-15,23,POR,NBA,PF,32,391,11.0,.513,.000,.527,9.2,26.8,18.2,3.4,2.1,2.0,22.7,16.6,,-0.3,0.8,0.5,.059,,-5.5,1.8,-3.8,-0.2
2014-15,23,PHI,NBA,PF,22,407,19.3,.496,.012,.343,15.8,30.2,22.6,11.7,2.0,1.8,11.8,23.6,,0.3,0.7,1.0,.118,,-2.1,0.5,-1.6,0.0
2015-16,24,BRK,NBA,PF,71,917,14.5,.453,.003,.375,16.4,27.8,22.0,7.7,2.1,3.2,16.9,19.8,,-0.5,1.1,0.6,.033,,-3.8,0.9,-2.9,-0.2
Career,,,NBA,,265,3644,13.5,.476,.004,.365,13.8,25.3,19.5,7.0,1.9,2.2,16.8,19.7,,-0.9,4.6,3.7,.048,,-3.8,0.4,-3.4,-1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,POR,NBA,,102,1264,13.2,.505,.003,.388,11.9,25.3,18.7,5.2,1.6,1.7,16.7,18.8,,0.1,2.0,2.1,.080,,-3.9,0.5,-3.4,-0.4
1 season,,BRK,NBA,,71,917,14.5,.453,.003,.375,16.4,27.8,22.0,7.7,2.1,3.2,16.9,19.8,,-0.5,1.1,0.6,.033,,-3.8,0.9,-2.9,-0.2
1 season,,SAC,NBA,,51,809,10.6,.450,.000,.292,12.7,21.3,16.9,6.8,1.6,2.0,19.2,18.6,,-0.7,0.5,-0.2,-0.010,,-4.3,-0.4,-4.8,-0.6
1 season,,PHI,NBA,,22,407,19.3,.496,.012,.343,15.8,30.2,22.6,11.7,2.0,1.8,11.8,23.6,,0.3,0.7,1.0,.118,,-2.1,0.5,-1.6,0.0
1 season,,HOU,NBA,,19,247,12.0,.454,.013,.487,13.9,21.3,17.7,6.2,3.2,1.5,19.5,20.8,,-0.3,0.4,0.1,.024,,-4.6,1.2,-3.4,-0.1
