Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,23,BOS,NBA,SG,77,1262,14.7,.542,.080,.393,8.0,12.3,10.2,8.2,3.1,1.4,14.5,18.9,,1.2,1.6,2.7,.103,,-0.7,0.6,-0.1,0.6
2005-06,24,BOS,NBA,PG,51,978,12.9,.554,.124,.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,,0.6,1.0,1.7,.082,,-1.6,0.2,-1.4,0.2
2006-07,25,BOS,NBA,SG,33,805,17.0,.596,.127,.517,5.1,13.6,9.2,12.5,3.2,1.2,19.1,22.1,,0.8,1.1,1.9,.111,,0.0,1.1,1.1,0.6
2007-08,26,BOS,NBA,SG,75,1373,10.7,.527,.147,.465,3.1,11.0,7.3,13.1,2.4,1.3,18.9,19.6,,-0.1,2.8,2.7,.093,,-3.2,1.8,-1.4,0.2
2008-09,27,BOS,NBA,SG,46,887,12.9,.541,.095,.384,3.2,10.7,7.1,12.0,3.2,2.1,18.8,21.5,,-0.2,1.8,1.6,.085,,-2.7,2.5,-0.3,0.4
2009-10,28,BOS,NBA,SG,54,889,14.2,.540,.020,.470,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,,0.2,1.6,1.9,.100,,-1.8,2.6,0.8,0.6
2010-11,29,MEM,NBA,SG,72,1494,18.3,.562,.047,.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,,2.0,2.7,4.7,.152,,0.7,2.9,3.6,2.1
2011-12,30,MEM,NBA,SG,58,1525,15.7,.541,.058,.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,,1.7,2.5,4.2,.131,,0.0,2.5,2.5,1.7
2012-13,31,MEM,NBA,SG,79,2109,13.2,.489,.038,.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,,1.0,4.1,5.1,.115,,-1.6,2.9,1.3,1.8
2013-14,32,MEM,NBA,SG,55,1278,15.6,.531,.114,.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,,0.5,2.1,2.7,.100,,-0.1,2.4,2.3,1.4
2014-15,33,MEM,NBA,SG,63,1648,14.6,.528,.064,.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,,0.9,3.2,4.1,.119,,-0.4,3.7,3.3,2.2
2015-16,34,MEM,NBA,SG,64,1620,12.9,.505,.090,.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,,0.5,1.9,2.4,.072,,-1.5,1.4,-0.1,0.8
Career,,,NBA,,727,15868,14.4,.534,.079,.369,6.2,12.0,9.1,9.8,3.4,1.6,15.3,18.8,,9.1,26.4,35.5,.107,,-1.0,2.2,1.2,12.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MEM,NBA,,391,9674,14.9,.524,.066,.319,6.8,12.2,9.5,8.7,3.7,1.6,13.7,18.1,,6.6,16.5,23.2,.115,,-0.6,2.7,2.1,10.0
6 seasons,,BOS,NBA,,336,6194,13.5,.548,.101,.449,5.1,11.6,8.4,11.6,3.0,1.5,17.6,19.9,,2.4,9.9,12.3,.096,,-1.7,1.4,-0.3,2.6
