Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,23,WAS,NBA,PF,65,1063,15.3,.582,.004,.399,10.2,17.0,13.5,5.2,1.4,3.0,11.3,13.9,,1.8,0.8,2.6,.119,,-1.0,0.3,-0.7,0.3
2011-12,24,WAS,NBA,PF,50,1261,15.4,.549,.006,.273,10.6,18.6,14.5,5.1,2.0,2.6,13.2,15.6,,1.6,1.4,3.0,.113,,-0.7,1.0,0.3,0.7
2012-13,25,WAS,NBA,PF,48,887,13.9,.509,.023,.327,12.2,17.8,14.9,7.4,1.9,1.4,11.0,14.5,,0.9,1.4,2.3,.126,,-1.7,1.8,0.1,0.5
2013-14,26,WAS,NBA,PF,72,1553,15.0,.563,.005,.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,,2.3,2.0,4.3,.132,,-1.1,1.3,0.2,0.8
2014-15,27,UTA,NBA,PF,79,1564,15.3,.536,.181,.319,10.3,19.0,14.7,9.0,1.5,2.1,14.3,18.1,,1.7,1.9,3.6,.110,,-0.6,0.7,0.2,0.9
2015-16,28,UTA,NBA,PF,79,1632,14.4,.533,.106,.273,11.9,20.4,16.2,8.2,1.9,2.1,15.7,14.6,,1.8,2.6,4.3,.128,,-0.9,2.3,1.4,1.4
Career,,,NBA,,393,7960,14.9,.545,.065,.288,11.0,18.5,14.7,7.0,1.7,2.3,13.2,15.3,,10.1,10.1,20.1,.121,,-0.9,1.3,0.3,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,235,4764,15.0,.553,.008,.281,10.9,17.7,14.2,6.0,1.6,2.4,11.9,14.6,,6.6,5.6,12.2,.123,,-1.1,1.1,0.0,2.4
2 seasons,,UTA,NBA,,158,3196,14.8,.534,.147,.298,11.1,19.7,15.4,8.6,1.7,2.1,14.9,16.3,,3.5,4.4,7.9,.119,,-0.7,1.5,0.8,2.3
