Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,24,IND,NBA,PF,29,511,14.6,.448,.018,.502,12.7,16.8,14.7,9.0,1.6,1.1,7.1,25.5,,0.1,0.6,0.7,.070,,-3.0,-1.2,-4.2,-0.3
2010-11,25,IND,NBA,PF,70,1535,16.4,.529,.003,.413,10.6,15.9,13.2,4.7,1.2,0.7,9.5,23.1,,2.2,1.6,3.8,.118,,-1.5,-1.9,-3.3,-0.5
2011-12,26,IND,NBA,PF,66,1442,14.7,.511,.002,.580,8.9,13.7,11.3,3.5,2.0,0.5,9.8,20.9,,2.2,1.7,3.9,.129,,-1.3,-1.5,-2.7,-0.3
2012-13,27,IND,NBA,PF,81,1366,15.3,.527,.007,.737,13.4,17.0,15.2,4.4,1.1,1.0,12.6,20.6,,2.1,2.2,4.4,.154,,-2.0,-0.8,-2.9,-0.3
2013-14,28,TOR,NBA,PF,64,978,14.2,.562,.010,.944,14.2,20.0,17.1,2.7,1.5,1.6,14.5,15.1,,1.7,1.4,3.0,.149,,-1.7,-0.2,-1.8,0.0
2014-15,29,TOR,NBA,PF,74,1058,13.3,.597,.042,.842,11.6,17.3,14.4,2.8,1.5,1.1,8.1,10.5,,2.6,0.9,3.4,.156,,0.1,-0.5,-0.5,0.4
2015-16,30,CHO,NBA,PF,44,343,12.5,.522,.042,.915,12.6,15.8,14.2,3.5,1.8,1.7,10.8,14.7,,0.5,0.5,1.0,.134,,-2.6,-0.1,-2.7,-0.1
Career,,,NBA,,428,7233,14.8,.525,.010,.618,11.7,16.5,14.1,4.1,1.5,1.0,10.4,19.0,,11.4,8.8,20.2,.134,,-1.5,-1.0,-2.5,-1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,IND,NBA,,246,4854,15.4,.513,.006,.548,11.1,15.6,13.4,4.7,1.5,0.8,10.1,22.0,,6.6,6.1,12.8,.126,,-1.7,-1.4,-3.1,-1.4
2 seasons,,TOR,NBA,,138,2036,13.7,.578,.025,.898,12.8,18.6,15.7,2.7,1.5,1.3,11.7,12.7,,4.3,2.2,6.5,.153,,-0.8,-0.4,-1.1,0.5
1 season,,CHO,NBA,,44,343,12.5,.522,.042,.915,12.6,15.8,14.2,3.5,1.8,1.7,10.8,14.7,,0.5,0.5,1.0,.134,,-2.6,-0.1,-2.7,-0.1
