Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,23,MIN,NBA,SG,79,2069,10.2,.491,.424,.135,2.7,10.4,6.4,11.0,1.4,2.0,11.6,16.8,,0.4,0.9,1.3,.030,,-1.1,-0.4,-1.6,0.2
2011-12,24,MIN,NBA,SF,65,1469,8.0,.477,.426,.086,1.8,11.6,6.7,6.4,1.2,2.3,12.7,14.3,,-0.4,1.0,0.6,.021,,-2.6,1.0,-1.6,0.1
2012-13,25,PHO,NBA,SF,50,953,10.3,.485,.391,.088,2.5,12.4,7.3,5.9,1.2,1.4,10.4,21.4,,-0.5,0.5,0.0,.000,,-2.6,-2.3,-4.9,-0.7
2013-14,26,LAL,NBA,SF,79,2240,11.0,.522,.416,.118,3.3,13.3,8.3,8.2,1.9,2.5,11.6,15.1,,0.4,1.5,1.9,.041,,-1.1,1.3,0.2,1.2
2014-15,27,LAL,NBA,SF,76,2245,11.1,.509,.375,.162,3.2,12.9,7.8,8.6,1.3,1.6,10.5,16.4,,1.0,0.7,1.7,.037,,-0.9,-0.6,-1.5,0.3
2015-16,28,LAC,NBA,SF,80,1666,11.0,.513,.600,.089,2.5,13.6,8.1,4.4,2.7,2.6,9.2,16.0,,0.0,2.7,2.6,.076,,-1.3,1.8,0.5,1.0
Career,,,NBA,,429,10642,10.4,.502,.436,.119,2.7,12.4,7.5,7.8,1.6,2.1,11.0,16.3,,1.0,7.2,8.2,.037,,-1.4,0.3,-1.2,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAL,NBA,,155,4485,11.1,.515,.395,.141,3.3,13.1,8.1,8.4,1.6,2.0,11.0,15.8,,1.4,2.2,3.6,.039,,-1.0,0.3,-0.7,1.5
2 seasons,,MIN,NBA,,144,3538,9.3,.486,.424,.117,2.3,10.9,6.5,9.1,1.3,2.1,12.0,15.8,,0.0,1.9,1.9,.026,,-1.7,0.1,-1.6,0.4
1 season,,LAC,NBA,,80,1666,11.0,.513,.600,.089,2.5,13.6,8.1,4.4,2.7,2.6,9.2,16.0,,0.0,2.7,2.6,.076,,-1.3,1.8,0.5,1.0
1 season,,PHO,NBA,,50,953,10.3,.485,.391,.088,2.5,12.4,7.3,5.9,1.2,1.4,10.4,21.4,,-0.5,0.5,0.0,.000,,-2.6,-2.3,-4.9,-0.7
