Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,22,POR,NBA,SG,73,894,9.1,.437,.210,.210,4.6,14.3,9.4,10.4,2.0,0.8,15.1,20.4,,-1.1,0.6,-0.5,-0.028,,-4.8,-0.9,-5.7,-0.8
2013-14,23,POR,NBA,SG,41,387,13.5,.488,.212,.205,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,,0.3,0.4,0.6,.078,,-1.9,-0.7,-2.7,-0.1
2014-15,24,TOT,NBA,SG,58,983,13.6,.503,.241,.266,2.8,15.3,8.9,13.0,2.5,1.5,13.4,20.2,,0.2,1.1,1.3,.063,,-1.7,1.1,-0.6,0.3
2014-15,24,POR,NBA,SG,30,300,8.3,.422,.180,.150,1.1,10.8,6.1,13.4,2.4,1.0,13.8,18.5,,-0.4,0.4,0.0,.002,,-4.9,0.8,-4.0,-0.2
2014-15,24,DEN,NBA,SG,28,683,15.9,.533,.265,.312,3.5,17.2,10.1,12.8,2.5,1.7,13.3,21.0,,0.6,0.7,1.3,.089,,-0.4,1.2,0.9,0.5
2015-16,25,DEN,NBA,SG,82,2353,16.0,.535,.331,.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,,2.4,1.9,4.3,.088,,0.3,-0.4,-0.1,1.1
Career,,,NBA,,254,4617,13.9,.508,.282,.255,3.3,17.5,10.3,13.2,1.8,1.3,12.2,21.8,,1.7,4.0,5.7,.059,,-1.3,-0.2,-1.5,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,144,1581,10.0,.448,.205,.198,3.9,14.1,9.0,11.7,1.9,0.9,13.4,20.2,,-1.3,1.4,0.1,.003,,-4.1,-0.5,-4.6,-1.0
2 seasons,,DEN,NBA,,110,3036,16.0,.535,.317,.281,2.9,19.4,11.0,14.0,1.7,1.4,11.6,22.6,,3.0,2.6,5.6,.088,,0.2,-0.1,0.1,1.6
