Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,22,PHI,NBA,SG,53,767,10.8,.464,.171,.227,2.5,7.5,5.0,14.1,1.8,0.5,13.1,27.7,,-0.7,0.6,0.0,-0.003,,-3.0,-2.9,-5.9,-0.8
2004-05,23,PHI,NBA,SG,57,1066,9.6,.457,.248,.296,2.3,11.9,7.0,15.7,1.6,0.4,13.6,23.0,,-0.9,1.1,0.1,.007,,-3.8,-1.5,-5.3,-0.9
2005-06,24,PHI,NBA,SG,10,153,8.6,.513,.288,.076,0.8,10.7,5.7,5.7,0.7,0.0,15.0,23.9,,-0.2,0.0,-0.1,-0.038,,-4.5,-4.8,-9.3,-0.3
2006-07,25,PHI,NBA,SG,74,1842,10.3,.458,.181,.128,2.7,7.5,5.1,11.2,1.6,0.2,10.4,25.7,,-1.8,1.1,-0.7,-0.018,,-2.9,-2.6,-5.5,-1.6
2007-08,26,PHI,NBA,SG,74,1970,12.8,.492,.206,.170,1.9,9.1,5.5,13.2,1.5,0.9,10.4,23.9,,0.4,1.6,2.1,.050,,-1.3,-1.5,-2.8,-0.4
2008-09,27,PHI,NBA,SG,81,1828,11.1,.493,.245,.129,1.9,6.4,4.1,14.4,1.5,0.6,8.4,18.9,,1.1,1.2,2.3,.060,,-0.9,-1.7,-2.7,-0.3
2009-10,28,PHI,NBA,SG,73,1553,12.8,.538,.250,.210,1.5,8.4,4.9,15.8,1.1,0.6,10.1,19.4,,1.8,0.3,2.2,.067,,-0.3,-3.0,-3.3,-0.5
2010-11,29,NOH,NBA,SG,77,1674,10.8,.515,.255,.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,,0.3,1.5,1.8,.052,,-1.9,-1.2,-3.1,-0.5
2011-12,30,ATL,NBA,SG,53,922,13.9,.578,.348,.172,1.9,8.2,5.1,7.4,1.3,0.5,8.6,19.5,,1.4,0.9,2.4,.122,,0.3,-2.0,-1.7,0.1
2012-13,31,LAC,NBA,SG,72,1188,11.8,.562,.430,.083,1.7,7.9,4.9,7.1,1.3,0.8,7.2,16.6,,1.7,0.9,2.5,.103,,0.3,-1.8,-1.5,0.2
2013-14,32,LAC,NBA,SG,55,869,7.1,.477,.446,.125,1.6,8.2,5.0,8.3,1.3,1.0,10.6,16.3,,-0.2,0.7,0.5,.028,,-2.6,-0.8,-3.4,-0.3
2014-15,33,ORL,NBA,SG,52,951,7.9,.477,.395,.111,1.6,7.9,4.7,10.9,1.4,0.4,13.0,17.6,,-0.4,0.4,-0.1,-0.003,,-2.8,-2.1,-4.9,-0.7
Career,,,NBA,,731,14783,11.0,.498,.263,.163,1.9,8.5,5.2,11.6,1.4,0.6,10.4,21.1,,2.6,10.3,12.9,.042,,-1.6,-1.9,-3.6,-5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,422,9179,11.4,.485,.216,.177,2.1,8.3,5.2,13.7,1.5,0.5,10.8,22.7,,-0.2,6.0,5.8,.030,,-1.9,-2.2,-4.0,-4.7
2 seasons,,LAC,NBA,,127,2057,9.8,.527,.437,.100,1.7,8.0,4.9,7.6,1.3,0.9,8.7,16.4,,1.5,1.6,3.0,.071,,-0.9,-1.4,-2.3,-0.1
1 season,,NOH,NBA,,77,1674,10.8,.515,.255,.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,,0.3,1.5,1.8,.052,,-1.9,-1.2,-3.1,-0.5
1 season,,ATL,NBA,,53,922,13.9,.578,.348,.172,1.9,8.2,5.1,7.4,1.3,0.5,8.6,19.5,,1.4,0.9,2.4,.122,,0.3,-2.0,-1.7,0.1
1 season,,ORL,NBA,,52,951,7.9,.477,.395,.111,1.6,7.9,4.7,10.9,1.4,0.4,13.0,17.6,,-0.4,0.4,-0.1,-0.003,,-2.8,-2.1,-4.9,-0.7
