Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,19,MEM,NBA,SG,38,527,7.0,.451,.106,.325,2.0,6.4,4.2,5.0,1.1,0.5,6.6,16.8,,-0.1,0.3,0.2,.021,,-3.9,-2.1,-6.0,-0.5
2011-12,20,NOH,NBA,SG,45,759,9.2,.450,.075,.373,3.8,12.7,8.3,7.6,1.9,0.9,11.7,18.7,,-0.4,0.7,0.2,.015,,-4.1,-0.5,-4.6,-0.5
2012-13,21,NOH,NBA,SF,50,625,7.6,.481,.068,.571,3.9,13.4,8.6,3.2,1.4,0.7,13.3,17.3,,-0.2,0.2,0.0,.002,,-4.6,-2.1,-6.6,-0.7
2013-14,22,LAL,NBA,SF,43,908,12.3,.511,.235,.513,2.9,10.5,6.7,8.8,2.4,0.6,11.9,23.1,,-0.1,0.5,0.3,.017,,-2.2,-1.4,-3.6,-0.4
2014-15,23,LAL,NBA,SF,9,86,4.9,.424,.000,1.846,2.5,2.7,2.6,4.8,1.8,0.0,11.3,13.7,,-0.1,0.0,-0.1,-0.030,,-5.5,-2.4,-7.9,-0.1
Career,,,NBA,,185,2905,9.3,.479,.139,.474,3.2,10.7,6.9,6.5,1.8,0.6,11.3,19.3,,-0.9,1.7,0.8,.013,,-3.6,-1.5,-5.1,-2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,95,1384,8.5,.464,.072,.455,3.9,13.0,8.4,5.7,1.6,0.8,12.4,18.1,,-0.6,0.9,0.3,.009,,-4.3,-1.2,-5.5,-1.2
2 seasons,,LAL,NBA,,52,994,11.7,.506,.226,.561,2.9,9.8,6.3,8.5,2.3,0.5,11.8,22.3,,-0.2,0.5,0.3,.013,,-2.5,-1.5,-4.0,-0.5
1 season,,MEM,NBA,,38,527,7.0,.451,.106,.325,2.0,6.4,4.2,5.0,1.1,0.5,6.6,16.8,,-0.1,0.3,0.2,.021,,-3.9,-2.1,-6.0,-0.5
